candidate_id,rank,score,reasoning
CAND_0041669,1,0.9983,"Recommendation Systems Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. FAISS, Milvus, PEFT; response rate 77%. Strong end-to-end fit."
CAND_0064326,2,0.9867,"Search Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Milvus, Semantic Search, Weaviate; response rate 94%. Strong end-to-end fit."
CAND_0050876,3,0.9831,"Applied ML Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Qdrant, FAISS, Weights & Biases; response rate 67%. Strong end-to-end fit."
CAND_0018499,4,0.9798,"Senior Machine Learning Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Recommendation Systems, Pinecone; response rate 61%. Strong end-to-end fit."
CAND_0088025,5,0.9766,"Staff Machine Learning Engineer, 9 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, QLoRA, RAG; response rate 83%. Strong end-to-end fit."
CAND_0005649,6,0.9743,"Senior Data Scientist, 7 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, QLoRA, Semantic Search; response rate 57%. Strong end-to-end fit."
CAND_0010257,7,0.9714,"Senior Data Scientist, 6 yrs; career shows production ranking/retrieval work; skills incl. Milvus, MLflow, Python; response rate 72%. Strong end-to-end fit."
CAND_0027691,8,0.9669,"NLP Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. LoRA, PEFT, Recommendation Systems; response rate 68%. Strong end-to-end fit."
CAND_0028422,9,0.9634,"Junior ML Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, OpenSearch, MLflow; response rate 76%. Strong end-to-end fit."
CAND_0077337,10,0.9625,"Staff Machine Learning Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Semantic Search, QLoRA, Pinecone; response rate 95%. Strong end-to-end fit."
CAND_0079387,11,0.9594,"AI Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Recommendation Systems, Python, Sentence Transformers; response rate 81%. Strong end-to-end fit."
CAND_0008425,12,0.9562,"Senior NLP Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. Learning to Rank, Qdrant, Weights & Biases; response rate 66%. Strong end-to-end fit."
CAND_0039383,13,0.9542,"Applied ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. FAISS, Recommendation Systems, QLoRA; response rate 61%. Strong end-to-end fit."
CAND_0071974,14,0.9532,"Senior AI Engineer, 8 yrs; career shows production ranking/retrieval work; skills incl. LoRA, Learning to Rank, Weaviate; response rate 76%. Strong end-to-end fit."
CAND_0081846,15,0.9530,"Lead AI Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Information Retrieval, Learning to Rank, Elasticsearch; response rate 73%. Strong end-to-end fit."
CAND_0029367,16,0.9524,"Senior Data Scientist, 6 yrs; career shows production ranking/retrieval work; skills incl. MLflow, QLoRA, FAISS; response rate 77%. Strong end-to-end fit."
CAND_0069905,17,0.9520,"Applied ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. LoRA, Recommendation Systems, Sentence Transformers; response rate 78%. Strong end-to-end fit."
CAND_0041610,18,0.9519,"Recommendation Systems Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. LoRA, Elasticsearch, OpenSearch; response rate 52%. Strong end-to-end fit."
CAND_0046064,19,0.9519,"Senior NLP Engineer, 9 yrs; career shows production ranking/retrieval work; skills incl. Python, Pinecone, OpenSearch; response rate 78%. Strong end-to-end fit."
CAND_0002025,20,0.9508,"Senior AI Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. FAISS, OpenSearch, Weaviate; response rate 80%. Strong end-to-end fit."
CAND_0046525,21,0.9503,"Senior Machine Learning Engineer, 6 yrs; career shows production ranking/retrieval work; skills incl. Elasticsearch, Information Retrieval, NLP; response rate 88%. Strong end-to-end fit."
CAND_0096142,22,0.9475,"Applied ML Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. LoRA, Weaviate, Pinecone; response rate 84%. Strong end-to-end fit."
CAND_0027801,23,0.9460,"NLP Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. FAISS, Milvus, QLoRA; response rate 65%. Strong end-to-end fit."
CAND_0062247,24,0.9458,"AI Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Pinecone, Vector Search, Qdrant; response rate 78%. Strong end-to-end fit."
CAND_0010685,25,0.9442,"NLP Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Information Retrieval, Elasticsearch, MLflow; response rate 83%. Strong end-to-end fit."
CAND_0016163,26,0.9414,"Applied ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Weaviate, Embeddings, LoRA; response rate 72%. Strong end-to-end fit."
CAND_0005260,27,0.9405,"Senior NLP Engineer, 5 yrs; career shows production ranking/retrieval work; skills incl. Information Retrieval, Semantic Search, Python; response rate 86%. Strong end-to-end fit."
CAND_0010149,28,0.9391,"ML Engineer, 7 yrs; career shows production ranking/retrieval work; skills incl. Milvus, Vector Search, Learning to Rank; response rate 82%. Strong end-to-end fit."
